,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,
Your Name,Gender,Are you currently working in academia or industry?,Years of Programming Experience?,Occupation,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Adequate Coverage,Factual Correctness,No Hallucination,Choose the summary you would prefer:
Participant 1,Male,Academia,Less than 5,Research Scholar,1,1,1,0,0,0,1,2,2,2,2,2,Summary 4,2,2,1,0,0,0,1,2,2,2,2,2,Summary 4,1,0,0,1,1,2,0,0,0,2,2,1,Summary 4,2,1,1,1,1,1,1,2,2,2,2,2,Summary 4,1,2,2,1,1,1,0,1,2,2,2,2,Summary 1,1,2,2,0,0,0,1,1,1,2,2,2,Summary 4,2,2,2,0,0,0,1,2,2,2,2,2,Summary 1,1,1,1,1,1,0,1,2,2,2,2,2,Summary 4,1,1,1,1,0,0,1,1,1,2,2,2,Summary 4,2,2,1,0,1,2,1,2,2,1,0,1,Summary 3
Participant 2,Female,Academia,Between 5 to10,Research Scholar,2,1,1,1,0,0,1,2,2,2,2,2,Summary 4,1,1,1,0,0,0,1,2,2,2,2,2,Summary 4,2,2,2,1,2,2,2,2,2,2,2,2,Summary 4,2,2,1,1,1,2,1,2,2,2,2,2,Summary 4,2,2,1,1,1,1,1,1,1,2,2,2,Summary 4,1,2,2,1,1,1,1,1,1,2,2,2,Summary 4,1,2,2,1,1,1,1,1,1,2,2,2,Summary 4,2,1,1,1,1,1,1,1,1,2,2,2,Summary 4,2,2,1,1,1,1,1,1,1,2,2,2,Summary 4,1,1,2,0,0,0,2,2,2,0,0,0,Summary 1
Participant 3,Female,Industry,Less than 5,Software Developer,1,2,0,0,0,0,1,2,2,2,2,2,Summary 4,1,1,1,1,2,2,1,0,0,2,1,1,Summary 3,2,2,1,1,1,0,2,2,1,1,1,2,Summary 2,1,1,1,0,0,0,1,1,0,1,2,1,None of the above,2,1,1,2,1,1,2,2,2,1,1,0,Summary 3,1,1,1,1,1,1,2,2,2,1,2,1,Summary 3,2,1,1,0,1,0,1,1,2,2,1,2,Summary 2,2,2,2,1,1,1,2,2,0,2,2,0,Summary 2,1,1,1,2,2,0,1,1,0,1,1,0,Summary 1,1,1,2,1,0,1,2,2,1,0,0,1,Summary 2
Participant 4,Male,Academia,Between 5 to10,Undergraduate student,2,1,0,1,0,0,1,2,0,2,1,2,Summary 4,2,1,0,1,0,1,1,2,2,2,2,2,Summary 3,2,2,2,1,2,2,0,0,0,2,1,1,Summary 2,2,1,1,2,1,2,1,2,2,2,2,2,Summary 3,2,1,1,1,0,0,1,2,2,2,1,1,Summary 3,1,1,1,0,0,0,1,2,2,2,2,2,Summary 4,2,1,0,1,0,0,1,2,2,2,2,2,Summary 4,2,1,0,2,0,0,1,2,2,2,2,2,Summary 4,2,1,0,1,0,0,1,2,2,2,1,1,Summary 3,2,2,0,2,1,2,1,1,1,1,1,2,Summary 1
Participant 5,Male,Academia,More than 10,Graduate student,2,2,1,2,0,0,1,2,2,2,2,2,Summary 4,2,2,1,2,0,2,2,2,2,2,2,2,Summary 4,2,2,1,2,2,2,0,0,0,2,2,1,Summary 2,2,2,0,2,1,2,2,2,2,2,2,2,Summary 4,2,1,0,1,1,1,1,2,2,2,2,1,None of the above,2,2,1,2,2,1,2,2,2,2,2,2,Summary 4,2,2,1,2,2,1,2,2,2,2,2,2,Summary 4,2,2,1,2,1,1,2,2,2,2,2,2,Summary 4,2,2,1,2,2,1,2,2,2,2,1,2,Summary 3,2,2,1,2,1,2,2,1,2,0,1,2,Summary 2
Participant 6,Male,Academia,Less than 5,Undergraduate student,2,2,0,1,0,0,1,2,1,2,2,1,Summary 4,2,2,1,0,0,1,1,2,2,2,2,2,Summary 4,2,2,1,1,2,2,0,0,0,2,1,0,Summary 2,2,2,0,2,1,2,1,2,2,2,2,2,Summary 4,2,2,0,1,0,1,2,2,2,2,2,2,Summary 4,2,2,1,1,1,1,1,2,2,2,2,2,Summary 4,2,2,0,1,0,1,1,2,2,2,2,2,Summary 4,2,1,0,1,0,2,2,2,2,2,2,2,Summary 4,2,2,1,1,0,1,2,2,2,2,2,2,Summary 4,2,2,1,2,2,2,1,2,2,1,1,2,Summary 3
Participant 7,Female,Industry,Less than 5,Software Developer,2,2,2,1,2,2,1,2,2,2,2,2,Summary 4,2,2,2,1,2,2,1,2,2,2,2,2,Summary 4,2,2,2,1,2,2,1,2,2,2,2,2,Summary 1,2,2,2,1,2,2,1,2,2,2,2,2,Summary 4,2,2,2,2,2,2,1,2,2,2,2,2,Summary 2,2,2,2,2,2,2,1,2,2,2,2,2,Summary 2,2,2,2,1,1,2,1,2,2,2,2,2,Summary 4,2,1,2,2,2,2,1,1,2,1,0,1,Summary 2,1,1,2,1,1,2,1,2,2,2,2,2,Summary 4,2,2,2,2,2,2,1,2,2,1,1,2,Summary 2
Participant 8,Male,Academia,Less than 5,Undergraduate student,2,1,1,1,1,1,2,2,2,2,2,2,Summary 4,1,1,1,0,0,0,2,2,2,2,2,2,Summary 4,1,1,1,2,2,2,0,0,0,2,2,2,Summary 4,1,1,1,1,0,1,2,2,2,2,2,2,Summary 4,1,1,1,1,1,1,2,2,2,2,2,2,Summary 4,1,1,1,1,0,0,2,2,2,2,2,2,Summary 3,1,1,1,1,0,1,2,2,2,2,2,2,Summary 3,1,1,1,1,0,1,2,2,2,0,0,0,Summary 3,1,1,1,1,0,1,2,2,2,2,2,2,Summary 3,2,1,1,1,1,1,2,2,2,0,0,0,Summary 3
Participant 9,Male,Academia,Between 5 to10,Graduate student,2,1,1,2,0,1,1,2,2,2,2,2,Summary 4,1,1,1,1,0,1,1,2,2,2,2,2,Summary 4,2,1,1,1,2,2,0,0,0,2,2,1,Summary 2,2,2,1,1,1,2,1,2,2,2,2,2,Summary 4,1,1,1,1,1,1,1,2,2,2,2,2,Summary 4,1,1,1,1,1,1,1,2,2,2,2,2,Summary 4,2,1,1,1,0,2,2,2,2,2,2,2,Summary 4,2,2,1,1,1,1,1,2,2,0,0,0,Summary 1,1,1,1,1,1,1,1,2,2,2,2,2,Summary 4,2,2,2,2,1,2,1,2,2,0,0,0,Summary 1
