,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 1,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 2,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 3,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 4,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 5,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 6,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 7,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 8,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 9,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 10,Question 11,Question 11,Question 11,Question 11,Question 11,Question 11,Question 11,Question 11,Question 11,Question 12,Question 12,Question 12,Question 12,Question 12,Question 12,Question 12,Question 12,Question 12,Question 13,Question 13,Question 13,Question 13,Question 13,Question 13,Question 13,Question 13,Question 13,Question 14,Question 14,Question 14,Question 14,Question 14,Question 14,Question 14,Question 14,Question 14,Question 15,Question 15,Question 15,Question 15,Question 15,Question 15,Question 15,Question 15,Question 15,Question 16,Question 16,Question 16,Question 16,Question 16,Question 16,Question 16,Question 16,Question 16,Question 17,Question 17,Question 17,Question 17,Question 17,Question 17,Question 17,Question 17,Question 17,Question 18,Question 18,Question 18,Question 18,Question 18,Question 18,Question 18,Question 18,Question 18,Question 19,Question 19,Question 19,Question 19,Question 19,Question 19,Question 19,Question 19,Question 19,Question 20,Question 20,Question 20,Question 20,Question 20,Question 20,Question 20,Question 20,Question 20,,,
,,,,,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,NOTA,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Medium / Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,NOTA,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,NOTA,Option 1,Option 1,Option 2,Option 2,Option 3,Option 3,Option 4,Option 4,Easy,,,
Your Name,Gender,Are you currently working in academia or industry?,Years of Programming Experience?,Occupation,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Factual Correctness,Completeness,Choose the title you would prefer:,,,
Participant 1,Female,Industry,More than 10,Software Developer,2,1,2,2,0,0,1,1,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,2,1,0,0,1,1,2,2,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,2,2,2,1,0,0,2,1,"Option 1: Backup Triggered Twice in a Row Since Latest Update (7.6.x), Affecting Dropbox Users",1,1,2,2,0,0,0,0,Option 2: Zooming while taking a video or a picture makes the phone reboot.,2,1,2,1,2,1,2,0,Option 3: Email Support System Incorrectly Judges Application Version,2,1,1,1,0,0,2,2,Option 4: Selected Emoticons Transmitted Incorrectly When System-Emoticons Option is Turned Off,2,2,2,1,2,2,2,1,Option 1: Signal keeps asking for money and is unable to take no for an answer,2,1,2,0,2,1,2,2,Option 4: Other Party Can't Hear Voice During Video and Speaker Calls Despite Microphone Permission,2,1,0,0,2,1,2,2,Option 4: Signal Closes After Authentication When Sharing Files While Locked,1,1,1,0,1,1,0,0,Option 3: Crash & reboot to recovery (Android 11) upon receival of Pixel 7 screens & photos /w specific ICC profile,2,1,2,2,1,1,1,1,Option 2: App Crashes After Update 6.46.1 Due to Uncaught Exceptions in FullBackupExporter,1,1,0,1,1,0,2,2,Option 4: Sending specific video failed after compressing,0,0,1,1,1,1,2,2,.,2,1,0,1,2,1,1,1,Option 1: Message Scheduling Error Due to Time Zone,0,0,2,1,1,1,2,1,Option 4: Date Formatting Inconsistency on Main Page,2,1,1,1,2,2,2,0,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,1,1,2,1,2,2,2,0,Option 3: Unable to Switch to Alphanumeric Keyboard for PIN Entry After Reinstalling Signal,2,1,1,1,1,1,2,2,Option 4: OS Crashes After Opening Notification in Android Conversation Bubble Feature,2,1,0,0,1,1,2,2,Option 4: Backup Restoration Fails with 'Incorrect Passphrase' Error in Signal Version 6.41.3.1365 Due to Corrupted Backup Files,0,1,0,0,1,1,2,2,Option 4: Inconsistent Naming: 'Phone Contact' vs. 'System Contact' in Conversation Bottom Sheet,,,
Participant 2,Male,Academia,Less than 5,Research Scholar,1,1,1,2,2,2,0,0,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,1,1,1,0,0,1,1,2,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,2,2,1,1,2,2,1,1,"Option 1: Backup Triggered Twice in a Row Since Latest Update (7.6.x), Affecting Dropbox Users",1,2,2,1,0,0,1,1,Option 3: Camera app crashes when switching between front and rear cameras.,1,2,1,1,1,0,0,0,Option 2: Email support system crashes when sending requests from the app,1,2,1,2,1,1,2,2,Option 4: Selected Emoticons Transmitted Incorrectly When System-Emoticons Option is Turned Off,1,2,1,2,1,1,2,1,Option 1: Signal keeps asking for money and is unable to take no for an answer,2,2,1,1,1,0,1,2,Option 4: Other Party Can't Hear Voice During Video and Speaker Calls Despite Microphone Permission,2,1,1,2,1,1,1,1,Option 4: Signal Closes After Authentication When Sharing Files While Locked,1,0,1,1,1,2,1,0,Option 3: Crash & reboot to recovery (Android 11) upon receival of Pixel 7 screens & photos /w specific ICC profile,1,2,1,2,1,1,0,1,None of the above,2,1,1,0,1,0,2,0,Option 2: All Videos Fail to Share in Signal After Compression,1,2,1,0,1,0,1,2,Option 2: Signal Rings Late on Phone Compared to Hangouts PC,2,1,2,1,1,1,1,1,Option 3: Message Scheduling Issue,2,1,2,1,2,2,1,0,Option 3: Date formatting changes on Main Screen with English Language Setting,2,2,1,0,1,1,2,1,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,1,0,2,1,1,2,1,1,Option 3: Unable to Switch to Alphanumeric Keyboard for PIN Entry After Reinstalling Signal,1,2,1,1,2,1,2,1,Option 2: App Crashes When Using Android Conversation Bubble,1,2,2,1,2,1,1,1,Option 3: Backup Issue in Signal,1,2,1,1,2,2,1,1,Option 4: Inconsistent Naming: 'Phone Contact' vs. 'System Contact' in Conversation Bottom Sheet,,,
Participant 3,Male,Academia,Less than 5,Graduate student,1,0,2,2,0,0,0,0,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,2,1,0,0,0,0,2,2,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,2,2,1,0,0,0,2,0,"Option 1: Backup Triggered Twice in a Row Since Latest Update (7.6.x), Affecting Dropbox Users",1,1,2,2,0,0,0,0,Option 2: Zooming while taking a video or a picture makes the phone reboot.,0,0,0,0,2,2,1,1,Option 3: Email Support System Incorrectly Judges Application Version,1,1,0,0,0,0,2,2,Option 4: Selected Emoticons Transmitted Incorrectly When System-Emoticons Option is Turned Off,2,2,1,0,0,0,1,1,Option 1: Signal keeps asking for money and is unable to take no for an answer,1,0,1,0,1,1,2,2,Option 4: Other Party Can't Hear Voice During Video and Speaker Calls Despite Microphone Permission,1,0,0,0,1,1,1,1,Option 4: Signal Closes After Authentication When Sharing Files While Locked,0,0,1,0,1,2,0,0,Option 3: Crash & reboot to recovery (Android 11) upon receival of Pixel 7 screens & photos /w specific ICC profile,1,1,2,2,0,0,1,1,Option 2: App Crashes After Update 6.46.1 Due to Uncaught Exceptions in FullBackupExporter,1,1,0,0,0,0,2,2,Option 4: Sending specific video failed after compressing,1,0,1,1,0,0,1,1,None of the above,1,0,0,0,1,0,1,1,None of the above,0,0,1,1,2,2,0,0,Option 3: Date formatting changes on Main Screen with English Language Setting,1,0,0,0,2,2,1,0,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,0,0,1,1,0,0,1,0,None of the above,1,1,1,1,0,0,2,2,Option 4: OS Crashes After Opening Notification in Android Conversation Bubble Feature,1,1,1,0,1,1,1,1,Option 4: Backup Restoration Fails with 'Incorrect Passphrase' Error in Signal Version 6.41.3.1365 Due to Corrupted Backup Files,1,1,0,0,0,0,2,2,Option 4: Inconsistent Naming: 'Phone Contact' vs. 'System Contact' in Conversation Bottom Sheet,,,
Participant 4,Male,Academia,Less than 5,Research Scholar,1,0,2,2,0,0,1,0,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,1,0,1,1,1,0,2,2,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,2,2,1,0,0,0,2,1,"Option 1: Backup Triggered Twice in a Row Since Latest Update (7.6.x), Affecting Dropbox Users",1,0,1,1,0,0,0,0,None of the above,2,1,0,0,2,1,1,1,Option 3: Email Support System Incorrectly Judges Application Version,2,1,1,1,0,0,2,2,Option 4: Selected Emoticons Transmitted Incorrectly When System-Emoticons Option is Turned Off,2,2,2,1,0,0,2,1,Option 1: Signal keeps asking for money and is unable to take no for an answer,2,1,1,0,2,2,2,2,Option 3: Microphone Not Working During Calls Despite Permissions,2,1,0,0,2,1,2,1,None of the above,0,0,0,0,0,0,1,0,None of the above,2,1,2,2,1,0,2,1,Option 2: App Crashes After Update 6.46.1 Due to Uncaught Exceptions in FullBackupExporter,2,1,0,0,1,0,2,2,Option 4: Sending specific video failed after compressing,0,0,0,0,2,1,2,1,Option 3: Call Notification Issue in Signal,2,2,2,2,2,1,2,1,Option 2: Messages Scheduled an Hour Late During DST,0,0,2,2,2,2,2,1,Option 3: Date formatting changes on Main Screen with English Language Setting,1,0,0,0,2,2,1,1,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,0,0,2,1,2,2,2,1,Option 3: Unable to Switch to Alphanumeric Keyboard for PIN Entry After Reinstalling Signal,1,0,2,2,2,1,2,2,Option 2: App Crashes When Using Android Conversation Bubble,2,1,0,0,2,1,2,2,Option 1: Backup Restoration Fails with 'Incorrect Passphrase' Error,2,2,0,0,0,0,2,2,Option 1: Inconsistent Naming for Contacts in the App,,,
Participant 5,Female,Industry,More than 10,Software Developer,1,1,2,2,1,1,1,1,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,1,1,1,2,2,1,1,1,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,1,1,0,1,1,1,1,1,"Option 1: Backup Triggered Twice in a Row Since Latest Update (7.6.x), Affecting Dropbox Users",0,0,1,1,1,1,1,1,Option 2: Zooming while taking a video or a picture makes the phone reboot.,1,1,1,1,1,1,2,2,Option 3: Email Support System Incorrectly Judges Application Version,1,1,1,1,0,0,2,2,Option 4: Selected Emoticons Transmitted Incorrectly When System-Emoticons Option is Turned Off,1,1,1,1,1,1,2,2,Option 1: Signal keeps asking for money and is unable to take no for an answer,1,1,1,1,1,1,2,2,Option 4: Other Party Can't Hear Voice During Video and Speaker Calls Despite Microphone Permission,1,1,1,1,1,1,2,1,Option 4: Signal Closes After Authentication When Sharing Files While Locked,0,0,1,1,2,2,1,1,Option 3: Crash & reboot to recovery (Android 11) upon receival of Pixel 7 screens & photos /w specific ICC profile,1,1,2,2,1,1,1,1,Option 2: App Crashes After Update 6.46.1 Due to Uncaught Exceptions in FullBackupExporter,1,1,1,1,1,1,1,1,Option 4: Sending specific video failed after compressing,1,1,1,1,1,1,0,0,Option 4: Calls always income as missed ones without ringing and Signal doesn't report the call failed,1,1,1,1,1,1,0,0,None of the above,0,0,1,1,1,1,1,1,Option 3: Date formatting changes on Main Screen with English Language Setting,2,2,1,1,1,1,1,1,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,1,1,1,1,1,1,1,1,Option 3: Unable to Switch to Alphanumeric Keyboard for PIN Entry After Reinstalling Signal,0,0,1,1,1,1,1,1,Option 4: OS Crashes After Opening Notification in Android Conversation Bubble Feature,1,1,1,1,1,1,1,1,Option 4: Backup Restoration Fails with 'Incorrect Passphrase' Error in Signal Version 6.41.3.1365 Due to Corrupted Backup Files,1,1,1,1,2,2,1,1,Option 4: Inconsistent Naming: 'Phone Contact' vs. 'System Contact' in Conversation Bottom Sheet,,,
Participant 6,Male,Academia,More than 10,Graduate student,1,1,2,2,0,1,1,1,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,1,1,0,1,2,1,2,2,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,1,2,1,1,0,0,2,2,Option 4: Backup Triggered Twice in a Row,1,1,2,2,0,0,0,0,Option 2: Zooming while taking a video or a picture makes the phone reboot.,2,2,2,2,1,1,1,1,Option 2: Email support system crashes when sending requests from the app,2,2,1,1,0,0,2,2,Option 1: Selected Emoticons Not Transmitted Correctly,2,2,1,1,1,2,2,1,Option 1: Signal keeps asking for money and is unable to take no for an answer,1,1,1,1,0,1,2,2,Option 4: Other Party Can't Hear Voice During Video and Speaker Calls Despite Microphone Permission,2,1,1,2,2,1,2,2,Option 4: Signal Closes After Authentication When Sharing Files While Locked,1,2,2,1,0,2,1,1,None of the above,2,1,2,2,0,1,2,1,Option 2: App Crashes After Update 6.46.1 Due to Uncaught Exceptions in FullBackupExporter,2,1,1,2,1,1,2,2,None of the above,0,1,1,2,2,1,2,2,None of the above,2,2,2,2,2,1,0,1,Option 2: Messages Scheduled an Hour Late During DST,0,1,2,2,2,2,0,2,Option 3: Date formatting changes on Main Screen with English Language Setting,2,1,1,1,2,2,2,1,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,1,2,2,1,2,2,1,1,Option 3: Unable to Switch to Alphanumeric Keyboard for PIN Entry After Reinstalling Signal,2,2,1,2,2,1,2,2,Option 4: OS Crashes After Opening Notification in Android Conversation Bubble Feature,2,2,1,1,2,1,1,2,Option 1: Backup Restoration Fails with 'Incorrect Passphrase' Error,2,2,0,2,1,1,2,2,Option 4: Inconsistent Naming: 'Phone Contact' vs. 'System Contact' in Conversation Bottom Sheet,,,
Participant 7,Female,Industry,Between 5 to 10,Software Developer,2,0,2,1,1,1,0,0,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,1,1,2,1,0,0,2,2,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,2,2,1,0,0,0,1,1,"Option 1: Backup Triggered Twice in a Row Since Latest Update (7.6.x), Affecting Dropbox Users",1,1,2,2,1,0,0,0,Option 2: Zooming while taking a video or a picture makes the phone reboot.,1,0,1,1,2,1,2,2,Option 4: Unable to contact support,2,1,1,1,0,0,1,1,Option 4: Selected Emoticons Transmitted Incorrectly When System-Emoticons Option is Turned Off,2,2,1,1,2,2,2,2,Option 1: Signal keeps asking for money and is unable to take no for an answer,1,1,1,0,2,1,2,2,Option 4: Other Party Can't Hear Voice During Video and Speaker Calls Despite Microphone Permission,1,1,0,0,2,1,2,2,Option 4: Signal Closes After Authentication When Sharing Files While Locked,1,1,1,1,1,1,1,1,Option 3: Crash & reboot to recovery (Android 11) upon receival of Pixel 7 screens & photos /w specific ICC profile,1,0,1,1,1,1,1,1,Option 2: App Crashes After Update 6.46.1 Due to Uncaught Exceptions in FullBackupExporter,1,1,2,2,1,0,2,1,Option 2: All Videos Fail to Share in Signal After Compression,1,1,2,2,1,1,2,2,Option 4: Calls always income as missed ones without ringing and Signal doesn't report the call failed,1,1,1,1,1,0,2,2,Option 4: Scheduling messages beyond Daylight Savings Time are ambiguous,0,0,2,1,2,2,1,0,Option 3: Date formatting changes on Main Screen with English Language Setting,1,1,1,1,2,2,0,0,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,1,1,0,0,2,2,1,1,Option 3: Unable to Switch to Alphanumeric Keyboard for PIN Entry After Reinstalling Signal,1,1,1,1,0,0,2,2,Option 4: OS Crashes After Opening Notification in Android Conversation Bubble Feature,1,0,1,1,1,1,2,2,Option 4: Backup Restoration Fails with 'Incorrect Passphrase' Error in Signal Version 6.41.3.1365 Due to Corrupted Backup Files,1,1,0,0,0,0,2,2,Option 4: Inconsistent Naming: 'Phone Contact' vs. 'System Contact' in Conversation Bottom Sheet,,,
Participant 8,Male,Academia,Between 5 to 10,Undergraduate student,1,0,2,2,2,1,1,0,Option 2: Unable to Play Received Video in Group Chat: 'Unable to play media' Toast Message Appears,1,0,1,1,1,0,1,2,Option 4: App Does Not Recognize Installed Google Play Services on GrapheneOS and Stock Android,2,2,1,0,1,1,1,0,"Option 1: Backup Triggered Twice in a Row Since Latest Update (7.6.x), Affecting Dropbox Users",1,0,2,2,0,1,0,0,Option 2: Zooming while taking a video or a picture makes the phone reboot.,2,2,0,1,2,2,2,0,Option 1: Support requests rejected due to app version,2,1,1,2,0,0,2,2,Option 4: Selected Emoticons Transmitted Incorrectly When System-Emoticons Option is Turned Off,2,2,1,1,0,1,2,2,Option 1: Signal keeps asking for money and is unable to take no for an answer,2,1,1,0,2,1,2,2,Option 4: Other Party Can't Hear Voice During Video and Speaker Calls Despite Microphone Permission,2,1,2,2,2,0,2,1,Option 4: Signal Closes After Authentication When Sharing Files While Locked,1,1,1,0,1,2,1,0,Option 3: Crash & reboot to recovery (Android 11) upon receival of Pixel 7 screens & photos /w specific ICC profile,1,1,2,2,0,0,1,0,Option 2: App Crashes After Update 6.46.1 Due to Uncaught Exceptions in FullBackupExporter,2,1,0,1,1,0,2,2,Option 4: Sending specific video failed after compressing,0,0,0,0,2,1,2,2,Option 4: Calls always income as missed ones without ringing and Signal doesn't report the call failed,2,1,0,1,2,1,2,1,Option 1: Message Scheduling Error Due to Time Zone,0,0,2,1,2,2,2,1,Option 3: Date formatting changes on Main Screen with English Language Setting,2,1,1,1,2,2,2,0,Option 3: Signal Crashes When Opening Specific Chat Due to Link Preview in Draft Message,1,2,2,1,2,2,2,0,Option 3: Unable to Switch to Alphanumeric Keyboard for PIN Entry After Reinstalling Signal,2,1,1,2,2,0,2,2,Option 4: OS Crashes After Opening Notification in Android Conversation Bubble Feature,2,2,0,1,2,1,1,2,Option 1: Backup Restoration Fails with 'Incorrect Passphrase' Error,2,2,0,0,0,0,2,2,Option 4: Inconsistent Naming: 'Phone Contact' vs. 'System Contact' in Conversation Bottom Sheet,,,
